Reach,Date,Water_Temp_C,C,DO_perc,DO_mg_L,ORP,pH,pH_mV,SPC
Downstream,12.16.2018,4.3,310.8,87.5,9.36,-8.6,8.11,-56.4,507.8
Gap,12.16.2018,3,270.5,80.3,10.76,-2.5,8.21,-60.6,466.7
Upstream,12.16.2018,3,267.4,87.8,11.79,-5.7,8.43,-67.6,460.9
Downstream,1.18.2019,2.6,312.8,91.8,12.65,35.8,8.08,-54,545.6
Gap,1.18.2019,2.6,307.7,88.8,12.07,-39.1,8.46,-74,537.2
Upstream,1.18.2019,2.6,304.1,87,11.83,-35.8,8.5,-75.9,531.6
Downstream,2.14.2019,3.4,303.8,84.5,11.98,56,7.97,-48.1,518.7
Gap,2.14.2019,2.6,267.8,91.2,12.4,40.8,8.22,-61.4,468.3
Upstream,2.14.2019,2.8,264.8,88.5,11.94,44.8,8.36,-68.9,459.6
Downstream,3.24.2019,6.7,294.9,47.9,5.68,139.6,7.83,-40.6,454
Gap,3.24.2019,6.6,250.1,95,11.64,92.6,8.23,-62.5,383.3
Upstream,3.24.2019,6.8,272.4,93.2,11.34,105.8,8.36,-69.9,417.4
