Pack_ID,DS-A-0-163,DS-A-0-165,DS-A-1-104,DS-A-1-105,DS-A-2-115,DS-A-2-116,DS-A-2-117,DS-A-3-127,DS-A-3-128,DS-A-3-129,DS-A-4-139,DS-A-4-140,DS-A-4-141,DS-B-0-172,DS-B-0-173,DS-B-0-174,DS-B-1-106,DS-B-1-107,DS-B-1-108,DS-B-2-118,DS-B-2-119,DS-B-2-120,DS-B-3-131,DS-B-3-132,DS-B-4-142,DS-B-4-143,DS-C-1-97,DS-C-1-98,DS-C-1-99,DS-C-2-109,DS-C-2-110,DS-C-2-111,DS-C-3-122,DS-C-3-123,DS-C-4-133,DS-C-4-135,DS-O-0-154,DS-O-0-155,DS-O-0-156,DS-O-1-100,DS-O-1-101,DS-O-1-102,DS-O-2-112,DS-O-2-113,DS-O-3-124,DS-O-3-126,DS-O-4-138,G-A-0-160,G-A-0-161,G-A-0-162,G-A-1-55,G-A-1-56,G-A-1-57,G-A-2-67,G-A-2-68,G-A-2-69,G-A-3-79,G-A-3-80,G-A-3-81,G-A-4-91,G-A-4-92,G-B-0-169,G-B-0-170,G-B-1-58,G-B-1-59,G-B-1-60,G-B-2-71,G-B-3-82,G-B-3-83,G-B-3-84,G-B-4-94,G-B-4-96,G-C-1-49,G-C-1-50,G-C-1-51,G-C-2-61,G-C-2-62,G-C-3-73,G-C-3-74,G-C-3-75,G-C-4-85,G-C-4-87,G-O-0-151,G-O-0-152,G-O-0-153,G-O-1-52,G-O-1-53,G-O-1-54,G-O-2-64,G-O-2-65,G-O-2-66,G-O-3-76,G-O-3-77,G-O-3-78,US-A-0-157,US-A-0-158,US-A-0-159,US-A-1-7,US-A-1-8,US-A-1-9,US-A-2-19,US-A-2-21,US-A-3-31,US-A-3-33,US-A-4-45,US-B-0-166,US-B-0-167,US-B-0-168,US-B-1-10,US-B-1-11,US-B-1-12,US-B-2-22,US-B-2-23,US-B-2-24,US-B-4-46,US-C-0-145,US-C-1-1,US-C-1-3,US-C-2-13,US-C-2-14,US-C-2-15,US-C-3-25,US-C-3-26,US-C-3-27,US-C-4-37,US-C-4-38,US-C-4-39,US-O-0-148,US-O-0-149,US-O-0-150,US-O-1-4,US-O-1-5,US-O-1-6,US-O-2-16,US-O-2-17,US-O-2-18,US-O-3-28,US-O-3-29
DS-A-0-163,0,0.181048411,0.339748284,0.431985449,0.433046654,0.458937553,0.442358612,0.494078326,0.450745114,0.493629806,0.482893651,0.479712543,0.474741485,0.324582601,0.274297323,0.248497867,0.367591761,0.437531248,0.42365112,0.502596362,0.449765448,0.444735845,0.444022521,0.437946932,0.401536425,0.449171528,0.485297251,0.501354196,0.518635349,0.491382922,0.459846845,0.466087094,0.481265319,0.467036433,0.442952357,0.440524297,0.258164446,0.264608508,0.346444375,0.41927361,0.45501367,0.475169962,0.46585643,0.470356689,0.513307755,0.552171618,0.443102721,0.26537207,0.489854323,0.202433087,0.301429614,0.338428583,0.262569949,0.470691121,0.432069443,0.455194089,0.450151154,0.438506667,0.444713781,0.436506698,0.447503567,0.244745612,0.308685669,0.324339993,0.336278427,0.379192161,0.423872206,0.475042436,0.440558774,0.490143685,0.413794957,0.438164091,0.435308009,0.498156246,0.436875206,0.466995737,0.469134566,0.43424335,0.453586745,0.468494652,0.449196159,0.444537834,0.363205445,0.520000026,0.362444541,0.395285214,0.474861208,0.481474048,0.382577361,0.515193393,0.483444163,0.471725221,0.454235017,0.471680633,0.652329694,0.279787272,0.343472719,0.244278474,0.330683916,0.390674966,0.452429991,0.470735111,0.448308113,0.448342341,0.449255996,0.350929232,0.307472425,0.318586569,0.394581117,0.380391588,0.379669215,0.526495546,0.55310108,0.488442967,0.546304208,0.348319753,0.672956358,0.502131849,0.472435019,0.470700219,0.445063082,0.455110522,0.456370428,0.461253953,0.45805959,0.438910972,0.474628601,0.272213334,0.421415885,0.583652801,0.477276683,0.474837834,0.341019109,0.472294448,0.494362805,0.468420781,0.452936123,0.466824666
DS-A-0-165,0.181048411,0,0.247303113,0.34168317,0.345470999,0.395123562,0.359803048,0.439382233,0.378721874,0.430336621,0.410053346,0.404979865,0.408458086,0.256624186,0.236893947,0.195593887,0.278788906,0.34959906,0.33508947,0.436237791,0.370069958,0.387858262,0.379037309,0.36143795,0.335956616,0.384513198,0.41385333,0.42466803,0.448064577,0.426121143,0.396367961,0.402536023,0.414825496,0.403331999,0.367797817,0.361522274,0.205791567,0.232429206,0.286815164,0.335232189,0.383844067,0.405542123,0.397077886,0.382739047,0.425843312,0.471334741,0.36019296,0.233003423,0.464452574,0.204272142,0.191185714,0.254817017,0.196396895,0.39030381,0.350776769,0.366446101,0.377373698,0.356651704,0.363365472,0.366182146,0.361890033,0.208930266,0.261807873,0.239578118,0.254943011,0.28940323,0.336867383,0.406418095,0.366612704,0.426177962,0.345694856,0.375115107,0.35670798,0.421254428,0.364921687,0.39692285,0.390544775,0.357579395,0.386983951,0.395864359,0.374976755,0.377262423,0.370125293,0.490196719,0.311895816,0.307394843,0.389097731,0.399988072,0.300261638,0.434510273,0.402725585,0.389645419,0.370647675,0.388517847,0.619323268,0.291842664,0.353442274,0.148574426,0.231006383,0.312702897,0.36682201,0.379563624,0.370744815,0.363852522,0.370145803,0.290238808,0.217095687,0.304404662,0.324017414,0.325529844,0.31140536,0.439476364,0.465958799,0.425666177,0.482527781,0.31327526,0.59850606,0.44128606,0.404672907,0.401936082,0.377383017,0.384377628,0.388215658,0.39162954,0.39625295,0.38032126,0.410972937,0.22404386,0.395675834,0.531145467,0.395677278,0.391348657,0.255319678,0.38586926,0.413545691,0.394433043,0.365223974,0.384575766
DS-A-1-104,0.339748284,0.247303113,0,0.218718962,0.250324396,0.256223591,0.267734803,0.362310202,0.303036665,0.334572227,0.305635706,0.306063111,0.305740047,0.249549897,0.351245683,0.256867352,0.196234305,0.228087144,0.223161337,0.387121227,0.25545635,0.305019039,0.25503255,0.224213643,0.251134142,0.243327779,0.275013112,0.300926413,0.334302533,0.31812435,0.284970427,0.274699324,0.30043627,0.283296315,0.2464057,0.250333325,0.340441484,0.377605571,0.318085135,0.297604961,0.370906633,0.352242197,0.247917358,0.301032215,0.331518397,0.428803587,0.287642748,0.366434446,0.566283401,0.328553761,0.180032833,0.214177323,0.186701732,0.243493276,0.203765792,0.234354288,0.261189406,0.293057242,0.253177164,0.276884184,0.252058,0.294165302,0.341085046,0.194893733,0.227968097,0.250709723,0.242167535,0.290378136,0.292402284,0.325548971,0.23248761,0.25141425,0.214609273,0.314096578,0.220496162,0.288156107,0.286144912,0.249086462,0.271171841,0.291806179,0.269118364,0.281542777,0.474366637,0.582146996,0.40696003,0.226022807,0.370615325,0.364087439,0.238329945,0.339857823,0.303042061,0.320340286,0.295534006,0.325747828,0.705265337,0.404989841,0.496240666,0.181884469,0.241199001,0.310690073,0.277911975,0.335137977,0.247671597,0.234661104,0.284213105,0.359707235,0.218447943,0.39423321,0.259526545,0.3706619,0.293212915,0.356900441,0.372620055,0.326987997,0.390834939,0.312499029,0.545115205,0.325000988,0.276107619,0.28313474,0.246008237,0.277577618,0.287374589,0.286404144,0.281078522,0.259786742,0.290152775,0.347259193,0.515679114,0.588965509,0.38268739,0.352161455,0.258710251,0.307466299,0.36166123,0.329642143,0.298269573,0.262484921
DS-A-1-105,0.431985449,0.34168317,0.218718962,0,0.180739805,0.274904581,0.220210171,0.341795695,0.269918685,0.221760172,0.255950735,0.236036788,0.269893072,0.317615293,0.440171051,0.353646454,0.195438205,0.093750853,0.213983121,0.277692357,0.236035141,0.304795869,0.322992632,0.25268666,0.280330687,0.260961715,0.256204099,0.265125467,0.261321865,0.275903529,0.33986568,0.290584032,0.313346032,0.330839635,0.296889246,0.307606005,0.429738783,0.466323394,0.391206497,0.208189367,0.315806315,0.244428324,0.24642916,0.192782021,0.190373589,0.34620187,0.216786923,0.4655724,0.665741484,0.430317302,0.310743469,0.280967913,0.317663511,0.200197977,0.221582286,0.17223765,0.268207522,0.236107624,0.203083603,0.276765185,0.243182675,0.396310201,0.425903979,0.289761196,0.280863167,0.291192102,0.196452215,0.251868311,0.254756369,0.295620855,0.293460271,0.308022767,0.224384375,0.225565475,0.270406205,0.311884674,0.255444361,0.287962789,0.306310812,0.283553121,0.279230715,0.287951802,0.568932968,0.677467755,0.489150108,0.207290707,0.32577398,0.293729301,0.241268328,0.256840489,0.181428847,0.227785209,0.240418205,0.275336195,0.793497348,0.496995966,0.593550248,0.299982488,0.349917374,0.422207186,0.148291425,0.226222377,0.226283477,0.18914509,0.236540394,0.444983112,0.301219135,0.486285627,0.272028529,0.442795088,0.354115568,0.193204901,0.210514167,0.222949645,0.349413265,0.39100514,0.610968275,0.2905839,0.280951877,0.301957454,0.308273653,0.286676666,0.290535766,0.300055657,0.310177812,0.32170103,0.307845952,0.450653068,0.606296926,0.643377529,0.27194531,0.283521542,0.257697561,0.190113411,0.249597467,0.282526157,0.232968957,0.187625097
DS-A-2-115,0.433046654,0.345470999,0.250324396,0.180739805,0,0.244023135,0.112198496,0.332877015,0.182286306,0.224003234,0.212642286,0.174900919,0.196056398,0.34154352,0.461773993,0.376040683,0.179320889,0.190264691,0.130780362,0.262110006,0.159786422,0.300895188,0.318235973,0.228526831,0.235047145,0.233101055,0.212669431,0.215278471,0.232097103,0.23627937,0.300190357,0.261992064,0.288526733,0.298267972,0.269371088,0.278383243,0.426023618,0.461736978,0.409807335,0.198327764,0.25624403,0.228896008,0.234321978,0.168910887,0.176544953,0.252768611,0.132846195,0.460979306,0.662707728,0.421613413,0.293763546,0.272839151,0.305987238,0.142339301,0.147326745,0.094118613,0.207767363,0.116015217,0.114550526,0.205155181,0.155562785,0.416262452,0.450832892,0.297400715,0.26767054,0.272629252,0.106035898,0.236736148,0.167350108,0.23920689,0.258156956,0.295241026,0.181432864,0.197434851,0.239785923,0.266183972,0.189063153,0.237357455,0.260974305,0.226980948,0.233980598,0.240968496,0.55734852,0.660722625,0.478170407,0.249431017,0.266360089,0.292673655,0.200817111,0.169688654,0.145974311,0.128498447,0.128127462,0.174849733,0.784041933,0.493749897,0.59127054,0.293609665,0.337144787,0.40910903,0.125258454,0.128800913,0.135172309,0.119655853,0.142283199,0.468388274,0.35622439,0.509140182,0.216378082,0.435133249,0.365204947,0.219565349,0.25251118,0.22748019,0.300539347,0.375518083,0.57524148,0.251863889,0.233364444,0.261679034,0.273317845,0.237744623,0.232481202,0.25393471,0.272902557,0.277358676,0.286314089,0.434672261,0.595527212,0.648297791,0.248118113,0.226659719,0.221695313,0.116580653,0.180729963,0.197478855,0.151887777,0.135666259
DS-A-2-116,0.458937553,0.395123562,0.256223591,0.274904581,0.244023135,0,0.228376233,0.281049542,0.192047926,0.253805833,0.217476626,0.236423584,0.189852081,0.396342573,0.516701826,0.426222761,0.230060254,0.28532119,0.251037914,0.321649267,0.18643119,0.233890642,0.210940812,0.192341414,0.208675335,0.142909722,0.160845705,0.18737754,0.224592789,0.194587563,0.230310704,0.165547064,0.225098891,0.226068686,0.22591866,0.230313762,0.476800121,0.491316108,0.439385517,0.336662741,0.328083856,0.306936534,0.150948065,0.299137748,0.294160823,0.351930324,0.234765686,0.50878465,0.6972101,0.458138511,0.362621115,0.334569386,0.341622328,0.163729755,0.180077188,0.238663335,0.150768819,0.2401693,0.200014588,0.207449925,0.199476817,0.466382508,0.508035035,0.348673913,0.293954358,0.351143619,0.242770547,0.238241478,0.215566043,0.220156531,0.256403521,0.239772866,0.196442673,0.219244884,0.205250158,0.227419047,0.20828295,0.232457202,0.219535681,0.231398216,0.224933076,0.233740853,0.578511162,0.715983804,0.531634691,0.312417882,0.415972314,0.377884463,0.260624528,0.27676356,0.228877065,0.273119931,0.2635685,0.275160228,0.847935802,0.526106101,0.629592638,0.362340147,0.393627624,0.47544828,0.235123809,0.308267834,0.195812387,0.188317582,0.238848018,0.519869785,0.374448222,0.559778126,0.235246356,0.467808638,0.392841315,0.340615943,0.339649201,0.242762535,0.271308161,0.35238885,0.528204979,0.19806693,0.177545429,0.205875974,0.179324546,0.217677096,0.210554704,0.203956745,0.222321675,0.218454269,0.195426419,0.479933704,0.636579723,0.700463478,0.362618118,0.345328736,0.337963175,0.258120276,0.293114844,0.258810102,0.281091937,0.229142543
DS-A-2-117,0.442358612,0.359803048,0.267734803,0.220210171,0.112198496,0.228376233,0,0.326867852,0.148004628,0.233922181,0.19673067,0.169427516,0.16995941,0.359212409,0.474612281,0.395266892,0.19059082,0.228315804,0.134036172,0.271660301,0.140423404,0.298134413,0.32304136,0.233902023,0.222731355,0.222994735,0.208098778,0.196444422,0.222157016,0.214879955,0.287380652,0.248186322,0.272509823,0.284893259,0.2748502,0.289426464,0.442210001,0.473591428,0.43890774,0.231819947,0.251566123,0.233156367,0.24578904,0.212513577,0.216711542,0.250953296,0.1265985,0.480279795,0.667430356,0.429338702,0.301656572,0.290373354,0.302945079,0.140331566,0.157420594,0.131936461,0.182359876,0.119105526,0.116846754,0.18663847,0.167662697,0.427300235,0.46614957,0.316754949,0.27379109,0.284551015,0.113063085,0.220389029,0.161621851,0.223919481,0.25976052,0.289990707,0.189583109,0.189457796,0.266387996,0.256799369,0.177797032,0.236675904,0.250775063,0.212820014,0.230489079,0.239093882,0.556308212,0.668471691,0.497811462,0.269831978,0.296132518,0.293277882,0.207601962,0.183038556,0.156091117,0.145051975,0.127854963,0.173265272,0.799669172,0.500303705,0.597200962,0.297624735,0.33667369,0.425213882,0.140101419,0.174738802,0.121064223,0.122679854,0.133768893,0.481386836,0.374290136,0.52684657,0.19701534,0.435237689,0.377187892,0.249232074,0.279835542,0.236181306,0.266867633,0.390755871,0.579226709,0.239053211,0.224763107,0.248315574,0.270281671,0.22821107,0.223050161,0.236401816,0.262533628,0.277284207,0.274298489,0.441024652,0.597661079,0.663824573,0.253701762,0.248227437,0.247282487,0.138065324,0.188743903,0.200589156,0.188789903,0.127451157
DS-A-3-127,0.494078326,0.439382233,0.362310202,0.341795695,0.332877015,0.281049542,0.326867852,0,0.294168288,0.207113428,0.295600309,0.336012855,0.28483865,0.423848801,0.551330997,0.452142069,0.330754665,0.334692042,0.329011407,0.209697335,0.29210348,0.118476391,0.364235225,0.309598355,0.286117562,0.316100493,0.303716259,0.293754605,0.316624276,0.266392884,0.344656587,0.317422925,0.327069334,0.336002765,0.347236147,0.359080977,0.50814679,0.527496205,0.471311283,0.38599044,0.370220316,0.304361599,0.318040864,0.387894035,0.348270355,0.406122406,0.309387394,0.549791565,0.74528683,0.509149151,0.41480522,0.417469083,0.410714734,0.300036003,0.309188103,0.315816149,0.280286551,0.331228053,0.303702577,0.281915629,0.323956124,0.508162839,0.540688121,0.423310426,0.377362921,0.422558442,0.32813788,0.244538323,0.322646655,0.277285893,0.333865085,0.304963177,0.320907421,0.308007099,0.346328016,0.331421069,0.295448835,0.344198502,0.334457071,0.322921415,0.325308138,0.306529257,0.614519127,0.744893353,0.570329365,0.362152001,0.464573226,0.412246334,0.330543639,0.312989363,0.309329382,0.313367722,0.32365149,0.322121891,0.891393458,0.578191458,0.667918832,0.421410815,0.462709116,0.547431448,0.320243824,0.380676345,0.295348965,0.296989422,0.326218965,0.551514727,0.402957005,0.593755967,0.321523405,0.51563602,0.472684203,0.36291341,0.34646553,0.198304469,0.312073998,0.414486062,0.650787159,0.262029787,0.312949862,0.314704211,0.340022874,0.309618725,0.298604953,0.298353806,0.324313881,0.335437217,0.311357361,0.51184756,0.668203304,0.731074011,0.406394126,0.413736452,0.37104471,0.338902073,0.327341431,0.287176906,0.358553182,0.303468864
DS-A-3-128,0.450745114,0.378721874,0.303036665,0.269918685,0.182286306,0.192047926,0.148004628,0.294168288,0,0.223473708,0.179559531,0.184017943,0.132656639,0.371029518,0.49074842,0.408181733,0.216064417,0.278358577,0.193397473,0.264073713,0.146935027,0.265708644,0.30050505,0.228529396,0.221343791,0.18348645,0.189493215,0.17301135,0.201492997,0.172197775,0.264497515,0.214234256,0.23193505,0.251057112,0.25612647,0.284615832,0.458764788,0.480530567,0.462689924,0.263398844,0.247615202,0.22249251,0.227851878,0.239105733,0.250286628,0.263184601,0.15059245,0.494902937,0.680203172,0.438326141,0.338914714,0.304515217,0.326962537,0.169507295,0.206535141,0.215185836,0.148762645,0.152154221,0.154625831,0.189218876,0.167685053,0.438979703,0.479022308,0.325113688,0.267160136,0.297523629,0.174137692,0.196157947,0.148671482,0.190859118,0.262042342,0.281494313,0.2026207,0.189021803,0.273350302,0.241739374,0.1886617,0.252615971,0.234568989,0.216911811,0.22429948,0.228918852,0.561579743,0.686372111,0.508364113,0.289333299,0.326960682,0.290645868,0.202991641,0.221610033,0.184109163,0.18821332,0.18339988,0.194538175,0.829827285,0.520165193,0.607847346,0.336329098,0.365572626,0.459333673,0.180423104,0.230634797,0.150941206,0.171622003,0.168890435,0.493318614,0.389166499,0.542609317,0.16635712,0.436019374,0.367192713,0.282286027,0.309073449,0.22895013,0.232932812,0.375064295,0.549193428,0.190959488,0.200371198,0.230905206,0.255016499,0.217001208,0.207220049,0.215635924,0.239261953,0.252089009,0.23237881,0.452507815,0.608767611,0.665878454,0.268074313,0.266322719,0.2671688,0.187931656,0.207210532,0.20730554,0.206493287,0.17131466
DS-A-3-129,0.493629806,0.430336621,0.334572227,0.221760172,0.224003234,0.253805833,0.233922181,0.207113428,0.223473708,0,0.234088747,0.243003708,0.228715516,0.408778962,0.543659254,0.445477835,0.272048636,0.22442928,0.241314213,0.153960138,0.22495194,0.213990301,0.357490239,0.291755002,0.274567496,0.264054129,0.258833864,0.232598239,0.229746056,0.223606822,0.330082826,0.292338721,0.302500721,0.320303263,0.324260519,0.346831166,0.503063371,0.522678861,0.468442919,0.271697883,0.291635681,0.214569024,0.282536382,0.258279536,0.208744795,0.306110271,0.205792886,0.540578241,0.736268903,0.497570032,0.385439049,0.377423129,0.381591704,0.220200905,0.267717995,0.221333968,0.238747797,0.240527026,0.221391265,0.242080857,0.271111721,0.496126181,0.534578052,0.398387778,0.329545796,0.377636772,0.227056306,0.218989682,0.248518795,0.230890622,0.307323007,0.304830296,0.272924693,0.216416124,0.337959944,0.315274448,0.248718924,0.321099289,0.307559139,0.29230684,0.299717291,0.287468973,0.614551915,0.742236009,0.558981708,0.307016279,0.383654434,0.342986794,0.278816921,0.232871104,0.172309486,0.205111615,0.235220416,0.256380883,0.88630275,0.572017935,0.66374229,0.395340186,0.433868273,0.521491427,0.174861787,0.25515124,0.231251601,0.222443914,0.238843316,0.542524302,0.392880306,0.587984568,0.269837389,0.493848648,0.439612987,0.225238544,0.232280508,0.057858052,0.289778217,0.409302029,0.635462084,0.238259196,0.283151289,0.289366532,0.326772188,0.283624729,0.278014437,0.274974464,0.30479423,0.317341385,0.283862233,0.50834148,0.661364627,0.724507387,0.297864952,0.317239129,0.31714681,0.20721519,0.227108944,0.237325067,0.253882361,0.202230392
