Pack_ID,chao1
DS-A-0-163,230
DS-A-0-165,254
DS-A-1-104,543.1515152
DS-A-1-105,382.2692308
DS-A-2-115,242.7906977
DS-A-2-116,903.921875
DS-A-2-117,393.1016949
DS-A-3-127,369.0714286
DS-A-3-128,445.9166667
DS-A-3-129,461.5454545
DS-A-4-139,554.8181818
DS-A-4-140,357.6612903
DS-A-4-141,442.3382353
DS-B-0-172,100.1111111
DS-B-0-173,88.33333333
DS-B-0-174,203.25
DS-B-1-106,436.0769231
DS-B-1-107,206.0731707
DS-B-1-108,332.3333333
DS-B-2-118,195.4347826
DS-B-2-119,532.0119048
DS-B-2-120,460.0140845
DS-B-3-131,863.2222222
DS-B-3-132,582.125
DS-B-4-142,329.375
DS-B-4-143,744.1764706
DS-C-1-97,806.9646018
DS-C-1-98,753.3291139
DS-C-1-99,706.5666667
DS-C-2-109,537.345679
DS-C-2-110,636.2164948
DS-C-2-111,504.1625
DS-C-3-122,501.1785714
DS-C-3-123,621.25
DS-C-4-133,724.125
DS-C-4-135,104
DS-O-0-154,119
DS-O-0-155,243
DS-O-0-156,40
DS-O-1-100,256.0784314
DS-O-1-101,380.125
DS-O-1-102,250.7368421
DS-O-2-112,613.64
DS-O-2-113,200.7916667
DS-O-3-124,184
DS-O-3-126,260.8484848
DS-O-4-138,296.9
G-A-0-160,77.2
G-A-0-161,229.8857143
G-A-0-162,124.5714286
G-A-1-55,302.1666667
G-A-1-56,579.8378378
G-A-1-57,446.3387097
G-A-2-67,443.1304348
G-A-2-68,452.5384615
G-A-2-69,273.8571429
G-A-3-79,700.2692308
G-A-3-80,481.06
G-A-3-81,444.2419355
G-A-4-91,482.6226415
G-A-4-92,528.7941176
G-B-0-169,211.96875
G-B-0-170,220.6666667
G-B-1-58,469.75
G-B-1-59,288.5909091
G-B-1-60,315.0425532
G-B-2-71,344.75
G-B-3-82,466.2307692
G-B-3-83,553.0117647
G-B-3-84,535.0365854
G-B-4-94,489.0967742
G-B-4-96,454.5373134
G-C-1-49,575.1875
G-C-1-50,458.3076923
G-C-1-51,541.28
G-C-2-61,506.6385542
G-C-2-62,354.9090909
G-C-3-73,366.4285714
G-C-3-74,500.8983051
G-C-3-75,348.4375
G-C-4-85,465.0144928
G-C-4-87,371.6206897
G-O-0-151,218.4545455
G-O-0-152,136.6875
G-O-0-153,97.3
G-O-1-52,148.8947368
G-O-1-53,274.7368421
G-O-1-54,218.3181818
G-O-2-64,103.2352941
G-O-2-65,258.4
G-O-2-66,293.5
G-O-3-76,251.6363636
G-O-3-77,294.0277778
G-O-3-78,339.0714286
US-A-0-157,215.4864865
US-A-0-158,218.4333333
US-A-0-159,288.8837209
US-A-1-7,345.6792453
US-A-1-8,367.3448276
US-A-1-9,427.3529412
US-A-2-19,423.8
US-A-2-21,272.7333333
US-A-3-31,487.0405405
US-A-3-33,456.8653846
US-A-4-45,373.8983051
US-B-0-166,281.5609756
US-B-0-167,130.7727273
US-B-0-168,282.0526316
US-B-1-10,432.9473684
US-B-1-11,347.15
US-B-1-12,433
US-B-2-22,137.037037
US-B-2-23,100.6470588
US-B-2-24,369
US-B-4-46,381.0645161
US-C-0-145,108
US-C-1-1,606.0315789
US-C-1-3,241.5384615
US-C-2-13,734.1340206
US-C-2-14,409.0869565
US-C-2-15,652.1041667
US-C-3-25,482.04
US-C-3-26,483.5538462
US-C-3-27,557.4029851
US-C-4-37,603.4366197
US-C-4-38,793.9285714
US-C-4-39,580
US-O-0-148,254.3846154
US-O-0-149,174.5
US-O-0-150,105.1111111
US-O-1-4,300.9183673
US-O-1-5,256.1351351
US-O-1-6,259.9655172
US-O-2-16,246.1694915
US-O-2-17,229
US-O-2-18,352.0212766
US-O-3-28,288.4102564
US-O-3-29,387.7580645
