Pack_ID,DS-A-0-163,DS-A-0-165,DS-A-1-104,DS-A-1-105,DS-A-2-115,DS-A-2-116,DS-A-2-117,DS-A-3-127,DS-A-3-128,DS-A-3-129,DS-A-4-139,DS-A-4-140,DS-A-4-141,DS-B-0-172,DS-B-0-173,DS-B-0-174,DS-B-1-106,DS-B-1-107,DS-B-1-108,DS-B-2-118,DS-B-2-119,DS-B-2-120,DS-B-3-131,DS-B-3-132,DS-B-4-142,DS-B-4-143,DS-C-1-97,DS-C-1-98,DS-C-1-99,DS-C-2-109,DS-C-2-110,DS-C-2-111,DS-C-3-122,DS-C-3-123,DS-C-4-133,DS-C-4-135,DS-O-0-154,DS-O-0-155,DS-O-0-156,DS-O-1-100,DS-O-1-101,DS-O-1-102,DS-O-2-112,DS-O-2-113,DS-O-3-124,DS-O-3-126,DS-O-4-138,G-A-0-160,G-A-0-161,G-A-0-162,G-A-1-55,G-A-1-56,G-A-1-57,G-A-2-67,G-A-2-68,G-A-2-69,G-A-3-79,G-A-3-80,G-A-3-81,G-A-4-91,G-A-4-92,G-B-0-169,G-B-0-170,G-B-1-58,G-B-1-59,G-B-1-60,G-B-2-71,G-B-3-82,G-B-3-83,G-B-3-84,G-B-4-94,G-B-4-96,G-C-1-49,G-C-1-50,G-C-1-51,G-C-2-61,G-C-2-62,G-C-3-73,G-C-3-74,G-C-3-75,G-C-4-85,G-C-4-87,G-O-0-151,G-O-0-152,G-O-0-153,G-O-1-52,G-O-1-53,G-O-1-54,G-O-2-64,G-O-2-65,G-O-2-66,G-O-3-76,G-O-3-77,G-O-3-78,US-A-0-157,US-A-0-158,US-A-0-159,US-A-1-7,US-A-1-8,US-A-1-9,US-A-2-19,US-A-2-21,US-A-3-31,US-A-3-33,US-A-4-45,US-B-0-166,US-B-0-167,US-B-0-168,US-B-1-10,US-B-1-11,US-B-1-12,US-B-2-22,US-B-2-23,US-B-2-24,US-B-4-46,US-C-0-145,US-C-1-1,US-C-1-3,US-C-2-13,US-C-2-14,US-C-2-15,US-C-3-25,US-C-3-26,US-C-3-27,US-C-4-37,US-C-4-38,US-C-4-39,US-O-0-148,US-O-0-149,US-O-0-150,US-O-1-4,US-O-1-5,US-O-1-6,US-O-2-16,US-O-2-17,US-O-2-18,US-O-3-28,US-O-3-29
fdc1cfeef7a0c8429cb75146915d3d13,0,0,34,28,140,27,157,3,88,23,217,372,237,0,0,0,45,48,32,20,61,6,49,125,125,125,105,159,235,37,40,40,41,17,25,70,0,0,0,149,144,56,71,99,66,185,56,0,0,0,18,56,36,64,80,148,90,218,222,208,235,0,0,58,95,78,32,238,281,239,56,75,102,270,105,105,72,53,72,110,62,35,0,0,0,50,181,136,132,75,103,104,110,124,0,0,0,39,21,6,24,175,215,137,331,0,0,0,66,49,51,35,75,10,282,0,22,113,64,68,25,45,53,42,24,38,20,0,0,0,134,264,52,92,350,47,114,57
ec942120fd9462341dab269e138ac881,0,0,32,86,51,27,36,7,50,82,27,21,24,0,0,0,59,62,45,42,46,12,15,22,12,16,99,90,87,64,23,38,58,48,63,0,0,0,0,89,91,201,33,78,57,43,41,0,0,0,15,10,21,67,23,41,31,21,25,9,9,0,0,18,48,50,53,26,19,28,12,7,39,122,22,17,107,41,58,107,94,114,0,0,0,47,62,84,79,45,46,41,20,28,0,0,0,20,17,13,76,57,13,39,35,0,0,0,84,25,23,79,128,86,18,0,7,101,39,36,38,77,91,82,79,64,83,0,0,0,118,113,74,113,47,36,36,62
f891510730b53f3f3714b343c49fc8bb,0,0,17,25,12,8,22,2,21,16,27,7,28,0,0,0,14,23,64,34,6,7,13,9,38,8,29,28,63,45,12,17,16,21,7,0,0,0,0,158,151,180,13,37,16,26,38,0,0,0,6,42,42,43,12,23,10,11,26,7,2,0,0,18,28,45,5,5,17,9,0,1,37,79,32,30,31,22,15,12,5,2,0,0,0,32,211,57,19,49,34,21,12,18,0,0,0,57,45,18,11,28,20,18,11,0,0,0,101,36,66,29,9,15,12,0,9,79,17,36,16,8,16,12,2,8,9,0,0,0,389,133,293,50,38,20,10,10
08aedbd4a3b7f290029dc0d54d1af015,0,0,13,23,46,10,15,5,11,17,6,4,9,0,0,0,23,53,18,19,29,9,0,9,10,9,40,25,16,25,12,27,16,28,33,0,0,0,0,130,73,88,20,165,14,84,43,0,0,0,7,2,3,24,31,73,9,56,35,1,4,0,0,7,12,5,4,6,14,3,6,0,11,16,0,9,71,44,7,53,43,81,0,0,0,38,46,21,0,38,62,50,30,39,0,0,0,10,8,6,14,101,27,24,22,0,0,0,29,15,21,12,27,22,9,0,0,0,59,18,15,82,33,28,81,14,23,0,0,0,127,37,43,117,132,37,171,75
32bcb37ab908df8a44a06d9b6dd0bcb5,0,0,16,13,107,28,56,3,27,45,11,8,7,0,0,9,8,29,42,35,57,1,6,2,4,5,6,23,14,13,6,21,9,8,7,0,0,0,0,32,15,12,24,55,194,42,77,0,0,0,6,1,6,58,59,61,47,32,20,10,19,0,0,4,11,2,6,24,19,11,9,36,8,17,9,9,19,10,9,11,5,14,0,0,0,10,9,7,0,43,116,50,57,78,0,0,0,0,10,4,70,58,26,46,30,0,0,0,4,0,4,93,76,31,10,0,2,11,18,14,15,21,12,16,14,4,13,3,0,0,8,8,6,48,53,29,58,41
fb79d3c78a79963585fdf322afc33ddf,2,8,16,136,8,5,13,5,6,120,6,1,0,0,0,0,78,209,45,137,12,6,0,0,0,26,16,12,10,1,0,0,0,0,0,0,0,4,16,16,11,8,11,19,95,18,18,0,0,0,4,1,0,18,19,13,1,11,1,41,2,0,0,3,0,10,22,0,2,0,0,0,38,3,0,0,0,0,0,0,0,0,0,0,0,12,1,20,5,35,26,36,24,10,0,0,0,2,6,15,133,16,14,11,19,0,0,0,11,0,14,295,214,132,0,0,9,0,3,0,1,2,0,1,0,0,0,9,4,0,1,0,0,37,3,10,21,21
963340a9b2b8518c2cd6aa559e20344d,0,0,9,21,68,8,31,3,8,5,14,8,25,0,0,0,21,33,17,13,7,2,10,17,43,9,19,25,20,7,16,7,8,6,1,0,0,0,0,51,35,18,13,23,8,43,7,0,0,0,13,18,9,19,75,85,15,77,68,20,13,0,0,9,11,16,3,24,33,21,13,24,19,33,28,25,21,17,4,11,5,2,0,0,0,9,53,30,0,32,36,39,24,36,0,0,0,10,13,4,10,72,45,45,17,0,0,0,9,9,12,7,17,2,39,0,6,36,8,15,11,5,12,8,4,2,3,0,0,0,28,91,21,38,75,40,30,24
bb47090b1699fa80844e53e0ead1f066,0,0,5,34,29,24,32,1,7,29,8,9,4,0,0,0,7,24,20,29,26,1,0,0,0,2,18,13,4,6,0,2,1,0,0,0,0,0,0,0,1,7,8,32,45,46,38,0,0,0,0,0,0,63,30,74,14,23,7,13,8,0,0,0,0,10,1,5,30,0,0,4,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,3,16,99,67,83,80,22,0,0,0,2,0,4,71,59,12,42,3,0,0,0,5,6,3,175,385,22,0,0,4,0,3,0,8,1,2,2,2,0,0,0,0,0,0,0,0,41,16,119,16,28
65d604df99bf261d98b4e48c4c2657df,0,0,0,0,24,27,44,0,64,17,7,9,46,0,0,0,15,0,36,86,64,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,2,0,28,54,38,0,0,0,0,0,0,21,10,30,80,51,30,30,25,0,0,0,0,11,11,0,10,3,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,40,213,19,118,84,39,0,0,0,0,0,0,38,19,26,24,7,0,0,0,27,0,0,43,55,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,10,99,10,26
d7fb6c6f09c8868f21875a3812b75b86,0,0,6,8,29,21,0,2,14,48,0,0,0,0,0,0,0,7,0,7,35,1,0,7,0,0,30,22,12,21,30,51,35,26,49,49,0,0,0,16,7,8,12,0,9,9,13,0,0,0,0,0,0,23,5,13,15,0,0,0,0,0,0,0,0,21,3,0,0,0,0,8,10,20,4,6,43,38,35,52,33,97,0,0,0,0,0,7,0,7,7,15,8,4,0,0,0,7,0,3,38,24,10,18,6,0,0,0,9,0,4,20,27,43,0,0,4,0,61,31,27,70,60,73,52,25,12,0,0,0,6,0,0,29,1,7,15,30
aa6034e5ba8e7cf942bece2c312e4848,8,43,82,19,5,2,7,2,2,0,38,1,1,63,33,102,69,52,120,12,3,4,0,3,24,2,2,5,0,0,0,0,0,0,0,9,0,0,0,10,8,1,0,0,2,0,0,12,58,21,190,14,88,0,7,2,4,6,12,9,2,42,43,38,36,48,15,30,2,0,11,29,11,4,12,1,6,1,5,0,0,0,2,0,0,47,5,3,14,0,2,0,1,2,14,19,31,21,25,20,8,6,4,8,1,88,238,55,26,35,13,4,17,1,2,15,0,7,1,0,0,2,3,2,0,0,0,7,7,0,5,0,4,0,2,1,9,3
9f5657c265e7aa0997db5c7b71e39704,0,0,4,0,35,27,74,5,40,13,46,49,37,0,0,0,8,0,20,5,36,7,4,7,35,18,2,2,9,14,3,8,1,4,2,0,0,0,0,4,6,3,10,9,10,30,62,0,0,0,0,2,1,39,41,48,50,57,60,24,24,0,0,0,0,8,47,16,16,22,7,8,2,13,2,3,9,4,4,3,2,4,0,0,0,0,8,2,50,45,26,36,31,29,0,0,0,0,0,0,41,67,75,74,26,0,0,0,6,5,0,8,13,6,29,0,2,10,2,2,4,3,1,3,3,2,0,0,0,0,4,0,2,34,38,9,33,27
fc7264cd06bae5a941b460cdcd9b3c3c,1,28,12,41,11,3,12,0,6,2,9,3,5,0,15,0,50,26,47,5,3,3,0,2,0,2,13,10,16,0,0,0,0,0,2,0,0,0,0,16,12,11,32,50,14,12,11,24,19,77,49,37,44,9,3,17,5,7,5,11,2,39,10,12,10,13,15,6,7,0,0,2,9,16,9,2,11,6,3,6,2,4,0,0,0,18,14,11,16,44,84,32,34,14,6,68,36,25,38,54,14,6,6,6,4,25,9,6,9,59,12,0,6,2,0,0,5,7,0,3,0,1,6,2,2,0,0,0,0,0,10,18,7,46,25,31,15,12
