Pack_ID,Original.mass,DishMass,D.TotalWetM,D.PartialWM,D.PDryM,APanM,AP.DM,AP.AshM,BPM,BP.DM,BP.AM
US-C-1-1,0.84,177.75,180.98,179.32,178.23,46.82,47.06,46.84,20.45,20.69,20.45
US-C-1-2,0.84,178.08,181.5,179.77,178.51,29.49,29.73,29.5,30.56,,
US-C-1-3,0.86,273.77,277.77,275.78,274.31,30.26,30.5,30.29,29.75,30,29.79
US-O-1-4,2.09,50.44,60.39,54.92,51.53,24.38,24.63,24.47,28.72,28.97,28.72
US-O-1-5,2.1,50.51,59.06,55.01,51.66,73.49,73.74,73.47,27.39,27.64,27.4062
US-O-1-6,2.06,177.82,183.1,179.83,178.27,25.5,25.75,25.53,27.31,,
US-A-1-7,1.97,50.58,63.53,58.3,51.25,26.84,27.1,26.86,24.29,24.53,24.3
US-A-1-8,1.98,53.54,64.75,60.01,54.51,121.93,122.19,121.94,46.07,46.31,46.09
US-A-1-9,1.98,266.48,279.75,273.57,267.14,64.3,64.56,64.3,48.56,48.8,48.58
US-B-1-10,1.95,177.93,185.69,183.07,178.87,4.86,5.11,4.92,48.56,48.88,48.717
US-B-1-11,1.92,50.78,61.49,57.83,51.36,4.81,5.07,4.83,28.34,28.601,28.3832
US-B-1-12,1.93,53.45,65.03,61.54,54.19,4.89,5.14,4.93,29.76,30.0037,29.7909
US-C-2-13,0.9,50.46,57.43,52.8,51.18,24.46,24.72,24.56,24.46,24.7083,24.553
US-C-2-14,0.91,53.35,57.86,55.55,54,24.3,24.56,24.38,46.07,46.3154,46.128
US-C-2-15,0.89,50.61,55.88,53.37,51.27,42.52,42.76,42.58,42.74,42.9832,42.798
US-O-2-16,2.01,50.43,57.27,54.76,51.2,55.37,55.63,55.42,27.39,27.6342,27.4292
US-O-2-17,1.99,50.51,52.99,51.75,50.85,29.75,30.01,29.79,24.28,,
US-O-2-18,1.98,177.65,185.11,181.46,178.59,112.23,112.49,112.26,28.71,28.9575,28.74
US-A-2-19,2.03,50.8,67.49,61.01,51.56,41.98,42.43,42.14,112.21,112.4565,112.29
US-A-2-20,2.02,50.64,75.59,64.79,54.56,29.92,30.18,30.1,20.44,20.6938,20.6264
US-A-2-21,2.03,50.61,55.18,53.13,50.96,28.37,28.61,28.42,48559.1,,
US-B-2-22,1.99,1,1.1226,0,0,0,0,0,0,0,0
US-B-2-23,1.94,1,1.2158,0,0,0,0,0,0,0,0
US-B-2-24,1.94,1,1.1017,0,0,0,0,0,0,0,0
US-C-3-25,0.95,50.49,56.11,53.68,51.34,23.83,24.09,23.91,20443,20689.5,20498.5
US-C-3-26,0.84,50.38,57.18,54.46,52,24.45,24.7,24.62,28705.5,28953.5,28794.2
US-C-3-27,0.86,266.29,270.61,268.26,267.1,30.56,30.79,30.59,42749.1,42991.1,42781.3
US-O-3-28,2.01,178.14,182.97,180.54,178.5,28.69,28.94,28.73,46071.3,,
US-O-3-29,2.09,177.74,181.08,178.85,177.99,23.18,23.42,23.24,,,
US-O-3-30,1.98,273.87,279.34,277.85,274.44,20.45,20.69,20.47,30283,30528.8,30326.5
US-A-3-31,2.02,53.39,56.58,55.21,53.82,29.77,30.02,29.9,29765.2,,
US-A-3-32,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-A-3-33,2,50.65,55.73,53.77,50.95,24.27,24.52,24.39,27393.4,,
US-B-3-34,1.92,0,0,0,0,0,0,0,0,0,0
US-B-3-35,1.95,0,0,0,0,0,0,0,0,0,0
US-B-3-36,1.91,0,0,0,0,0,0,0,0,0,0
US-C-4-37,0.87,50.62,57.87,53.54,51.65,26.81,27.07,26.97,24454,24701.6,24591.8
US-C-4-38,0.94,266.6,274.49,270.82,268.29,30.28,30.54,30.46,24472.1,24718.6,24615.4
US-C-4-39,0.94,50.75,59.4,55.35,52.64,121.83,122.08,121.97,112235.8,112475.2,112300.4
US-O-4-40,2.01,0,0,0,0,0,0,0,0,0,0
US-O-4-41,2.08,0,0,0,0,0,0,0,0,0,0
US-O-4-42,2,0,0,0,0,0,0,0,0,0,0
US-A-4-43,2,0,0,0,0,0,0,0,0,0,0
US-A-4-44,1.97,0,0,0,0,0,0,0,0,0,0
