LP_num,Reach,Leaf_Type,Time_Point,Days_Exposure,Replicate,Pack_ID
1,US,Cotton,1,5,1,US-C-1-1
2,US,Cotton,1,5,2,US-C-1-2
3,US,Cotton,1,5,3,US-C-1-3
4,US,Oak,1,5,1,US-O-1-4
5,US,Oak,1,5,2,US-O-1-5
6,US,Oak,1,5,3,US-O-1-6
7,US,Ash,1,5,1,US-A-1-7
8,US,Ash,1,5,2,US-A-1-8
9,US,Ash,1,5,3,US-A-1-9
10,US,Buckthorn,1,5,1,US-B-1-10
11,US,Buckthorn,1,5,2,US-B-1-11
12,US,Buckthorn,1,5,3,US-B-1-12
13,US,Cotton,2,38,1,US-C-2-13
14,US,Cotton,2,38,2,US-C-2-14
15,US,Cotton,2,38,3,US-C-2-15
16,US,Oak,2,38,1,US-O-2-16
17,US,Oak,2,38,2,US-O-2-17
18,US,Oak,2,38,3,US-O-2-18
19,US,Ash,2,38,1,US-A-2-19
20,US,Ash,2,38,2,US-A-2-20
21,US,Ash,2,38,3,US-A-2-21
22,US,Buckthorn,2,38,1,US-B-2-22
23,US,Buckthorn,2,38,2,US-B-2-23
24,US,Buckthorn,2,38,3,US-B-2-24
25,US,Cotton,3,65,1,US-C-3-25
26,US,Cotton,3,65,2,US-C-3-26
27,US,Cotton,3,65,3,US-C-3-27
28,US,Oak,3,65,1,US-O-3-28
29,US,Oak,3,65,2,US-O-3-29
30,US,Oak,3,65,3,US-O-3-30
31,US,Ash,3,65,1,US-A-3-31
32,US,Ash,3,65,2,US-A-3-32
33,US,Ash,3,65,3,US-A-3-33
34,US,Buckthorn,3,65,1,US-B-3-34
35,US,Buckthorn,3,65,2,US-B-3-35
36,US,Buckthorn,3,65,3,US-B-3-36
37,US,Cotton,4,95,1,US-C-4-37
38,US,Cotton,4,95,2,US-C-4-38
39,US,Cotton,4,95,3,US-C-4-39
40,US,Oak,4,95,1,US-O-4-40
41,US,Oak,4,95,2,US-O-4-41
42,US,Oak,4,95,3,US-O-4-42
43,US,Ash,4,95,1,US-A-4-43
44,US,Ash,4,95,2,US-A-4-44
45,US,Ash,4,95,3,US-A-4-45
46,US,Buckthorn,4,95,1,US-B-4-46
47,US,Buckthorn,4,95,2,US-B-4-47
48,US,Buckthorn,4,95,3,US-B-4-48
49,Gap,Cotton,1,5,1,G-C-1-49
50,Gap,Cotton,1,5,2,G-C-1-50
51,Gap,Cotton,1,5,3,G-C-1-51
52,Gap,Oak,1,5,1,G-O-1-52
53,Gap,Oak,1,5,2,G-O-1-53
54,Gap,Oak,1,5,3,G-O-1-54
55,Gap,Ash,1,5,1,G-A-1-55
56,Gap,Ash,1,5,2,G-A-1-56
57,Gap,Ash,1,5,3,G-A-1-57
58,Gap,Buckthorn,1,5,1,G-B-1-58
59,Gap,Buckthorn,1,5,2,G-B-1-59
60,Gap,Buckthorn,1,5,3,G-B-1-60
61,Gap,Cotton,2,38,1,G-C-2-61
62,Gap,Cotton,2,38,2,G-C-2-62
63,Gap,Cotton,2,38,3,G-C-2-63
64,Gap,Oak,2,38,1,G-O-2-64
65,Gap,Oak,2,38,2,G-O-2-65
66,Gap,Oak,2,38,3,G-O-2-66
67,Gap,Ash,2,38,1,G-A-2-67
68,Gap,Ash,2,38,2,G-A-2-68
69,Gap,Ash,2,38,3,G-A-2-69
70,Gap,Buckthorn,2,38,1,G-B-2-70
71,Gap,Buckthorn,2,38,2,G-B-2-71
72,Gap,Buckthorn,2,38,3,G-B-2-72
73,Gap,Cotton,3,65,1,G-C-3-73
74,Gap,Cotton,3,65,2,G-C-3-74
75,Gap,Cotton,3,65,3,G-C-3-75
76,Gap,Oak,3,65,1,G-O-3-76
77,Gap,Oak,3,65,2,G-O-3-77
