Pack_ID,Belostomatidae,Bivalvia,Brachycentridae,Capniidae,Chironomidae,Elmidae,Ephemerellidae,Gammaridae,Helicopsychidae,Heptageniidae,Hydrobiidae,Hydropsychidae,Leptophlebiidae,Limnephilidae,Nemouridae,Perlodidae,Phryganeidae,Planorbidae,Simuliidae,Taeniopterygidae,Tipulidae
US-C-1-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
US-C-1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-C-1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-O-1-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-O-1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-O-1-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-A-1-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
US-A-1-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
US-A-1-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
US-B-1-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
US-B-1-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
US-B-1-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-C-2-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
US-C-2-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-C-2-15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-O-2-16,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,5,0
US-O-2-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
US-O-2-18,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,2,6,0
US-A-2-19,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,1,0
US-A-2-20,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0
US-A-2-21,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,10,0
US-B-2-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-B-2-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-B-2-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-C-3-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-C-3-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-C-3-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-O-3-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
US-O-3-29,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
US-O-3-30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
US-A-3-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-A-3-32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-A-3-33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-B-3-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-B-3-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-B-3-36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-C-4-37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US-C-4-38,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0
US-C-4-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
