"","(Intercept)","Days_Exposure","Days_Exposure:Leaf_TypeBuckthorn","Days_Exposure:Leaf_TypeCotton","Days_Exposure:Leaf_TypeOak","Days_Exposure:ReachGap","Days_Exposure:ReachDS","Days_Exposure:Leaf_TypeBuckthorn:ReachGap","Days_Exposure:Leaf_TypeCotton:ReachGap","Days_Exposure:Leaf_TypeOak:ReachGap","Days_Exposure:Leaf_TypeBuckthorn:ReachDS","Days_Exposure:Leaf_TypeCotton:ReachDS","Days_Exposure:Leaf_TypeOak:ReachDS"
"(Intercept)",0.0202636302794756,-0.000279469865258069,-2.60853316822889e-18,-2.36749526971402e-18,-2.1533931799214e-18,-2.02054413266266e-18,6.71706302384466e-06,2.48754838817266e-18,2.18704161988115e-18,1.89576507249608e-18,2.90378670662576e-18,2.71111948076811e-18,2.53546525755639e-18
"Days_Exposure",-0.000279469865258069,3.69316168052472e-05,-3.30772528778481e-05,-3.30772528778481e-05,-3.30772528778481e-05,-3.30772528778481e-05,-3.31698925812139e-05,3.30772528778481e-05,3.30772528778481e-05,3.30772528778481e-05,3.30772528778481e-05,3.30772528778481e-05,3.30772528778481e-05
"Days_Exposure:Leaf_TypeBuckthorn",-2.60853316822889e-18,-3.30772528778481e-05,6.61545057556962e-05,3.30772528778481e-05,3.30772528778481e-05,3.30772528778481e-05,3.30772528778481e-05,-6.61545057556962e-05,-3.30772528778481e-05,-3.30772528778481e-05,-6.61545057556962e-05,-3.30772528778481e-05,-3.30772528778481e-05
"Days_Exposure:Leaf_TypeCotton",-2.36749526971402e-18,-3.30772528778481e-05,3.30772528778481e-05,6.61545057556963e-05,3.30772528778481e-05,3.30772528778482e-05,3.30772528778482e-05,-3.30772528778481e-05,-6.61545057556962e-05,-3.30772528778481e-05,-3.30772528778481e-05,-6.61545057556963e-05,-3.30772528778481e-05
"Days_Exposure:Leaf_TypeOak",-2.1533931799214e-18,-3.30772528778481e-05,3.30772528778481e-05,3.30772528778481e-05,6.61545057556961e-05,3.30772528778481e-05,3.30772528778481e-05,-3.3077252877848e-05,-3.30772528778481e-05,-6.61545057556961e-05,-3.30772528778481e-05,-3.30772528778481e-05,-6.61545057556961e-05
"Days_Exposure:ReachGap",-2.02054413266266e-18,-3.30772528778481e-05,3.30772528778481e-05,3.30772528778482e-05,3.30772528778481e-05,6.61545057556963e-05,3.30772528778482e-05,-6.61545057556962e-05,-6.61545057556963e-05,-6.61545057556962e-05,-3.30772528778481e-05,-3.30772528778482e-05,-3.30772528778481e-05
"Days_Exposure:ReachDS",6.71706302384466e-06,-3.31698925812139e-05,3.30772528778481e-05,3.30772528778482e-05,3.30772528778481e-05,3.30772528778482e-05,6.35599205383241e-05,-3.30772528778481e-05,-3.30772528778481e-05,-3.30772528778481e-05,-6.35576939414584e-05,-6.35576939414584e-05,-6.35576939414584e-05
"Days_Exposure:Leaf_TypeBuckthorn:ReachGap",2.48754838817266e-18,3.30772528778481e-05,-6.61545057556962e-05,-3.30772528778481e-05,-3.3077252877848e-05,-6.61545057556962e-05,-3.30772528778481e-05,0.000132309011511392,6.61545057556961e-05,6.61545057556961e-05,6.61545057556961e-05,3.30772528778481e-05,3.3077252877848e-05
"Days_Exposure:Leaf_TypeCotton:ReachGap",2.18704161988115e-18,3.30772528778481e-05,-3.30772528778481e-05,-6.61545057556962e-05,-3.30772528778481e-05,-6.61545057556963e-05,-3.30772528778481e-05,6.61545057556961e-05,0.000132309011511392,6.61545057556962e-05,3.30772528778481e-05,6.61545057556962e-05,3.3077252877848e-05
"Days_Exposure:Leaf_TypeOak:ReachGap",1.89576507249608e-18,3.30772528778481e-05,-3.30772528778481e-05,-3.30772528778481e-05,-6.61545057556961e-05,-6.61545057556962e-05,-3.30772528778481e-05,6.61545057556961e-05,6.61545057556962e-05,0.000132309011511392,3.3077252877848e-05,3.30772528778481e-05,6.61545057556961e-05
"Days_Exposure:Leaf_TypeBuckthorn:ReachDS",2.90378670662576e-18,3.30772528778481e-05,-6.61545057556962e-05,-3.30772528778481e-05,-3.30772528778481e-05,-3.30772528778481e-05,-6.35576939414584e-05,6.61545057556961e-05,3.30772528778481e-05,3.3077252877848e-05,0.000127115387882917,6.35576939414583e-05,6.35576939414583e-05
"Days_Exposure:Leaf_TypeCotton:ReachDS",2.71111948076811e-18,3.30772528778481e-05,-3.30772528778481e-05,-6.61545057556963e-05,-3.30772528778481e-05,-3.30772528778482e-05,-6.35576939414584e-05,3.30772528778481e-05,6.61545057556962e-05,3.30772528778481e-05,6.35576939414583e-05,0.000127115387882917,6.35576939414583e-05
"Days_Exposure:Leaf_TypeOak:ReachDS",2.53546525755639e-18,3.30772528778481e-05,-3.30772528778481e-05,-3.30772528778481e-05,-6.61545057556961e-05,-3.30772528778481e-05,-6.35576939414584e-05,3.3077252877848e-05,3.3077252877848e-05,6.61545057556961e-05,6.35576939414583e-05,6.35576939414583e-05,0.000127115387882917
